question,label
How do you cope with feelings of anxiety or panic attacks in stressful situations?,1
What strategies do you use to manage symptoms of depression on a daily basis?,1
Can you share some techniques for improving self-esteem and cultivating a positive self-image?,1
How do you recognize and address triggers that worsen symptoms of PTSD or trauma-related stress?,1
What are some effective ways to communicate with loved ones about your mental health challenges?,1
How do you differentiate between normal stress and signs of a more serious mental health issue?,1
What are some healthy habits or routines that can support overall mental well-being?,1
Can you explain the importance of self-care and provide practical tips for incorporating it into daily life?,1
How do you establish boundaries to protect your mental health in relationships and social interactions?,1
"What role does nutrition and exercise play in maintaining good mental health, and how can one integrate them into their lifestyle?",1
How does Clare&Me ensure user privacy and confidentiality while providing mental health support through WhatsApp and calls?,2
Can users customize the frequency and timing of interactions with Clare&Me to suit their individual needs and schedules?,2
"What specific mental health issues or concerns does Clare&Me address, and how does it tailor its support to each user's unique circumstances?",2
How does Clare&Me utilize natural language processing (NLP) and machine learning algorithms to understand and respond effectively to users' messages and verbal communication?,2
Are there licensed mental health professionals involved in developing and monitoring Clare&Me's responses and interventions?,2
How does Clare&Me handle crisis situations or urgent mental health needs expressed by users through WhatsApp or calls?,2
Can Clare&Me provide resources or referrals to other mental health services or professionals if necessary?,2
What measures does Clare&Me take to prevent the misuse or abuse of its platform for harmful purposes?,2
"How does Clare&Me ensure inclusivity and cultural sensitivity in its approach to mental health support, considering diverse user backgrounds and experiences?",2
What feedback mechanisms are in place for users to provide input and suggestions for improving Clare&Me's effectiveness and user experience?,2
"What are the different subscription plans offered by Clare&Me, and what features are included in each plan?",3
"Can users switch between subscription plans or cancel their subscription at any time, and what are the associated terms and conditions?",3
Are there any discounts or promotions available for long-term subscription commitments with Clare&Me?,3
Does Clare&Me offer a trial period for users to experience the service before committing to a subscription?,3
"How does billing work for Clare&Me subscriptions? Is it monthly, annually, or on a different schedule?",3
"Are there any additional fees or charges associated with Clare&Me subscriptions, such as taxes or transaction fees?",3
"What payment methods are accepted for Clare&Me subscriptions, and is there an option for automatic renewal?",3
Are there special subscription options or considerations for organizations or groups interested in using Clare&Me for their members or employees?,3
